date,UnmannedCombatAerialVehicles,NavalShips,AntiAircraftGuns,Radars,JammersAndDeceptionSystems,SelfPropelledAntiAircraftGuns,SelfPropelledAntiTankMissileSystems,MineResistantAmbushProtected,Aircraft,Helicopters,SurfaceToAirMissileSystems,ArtillerySupportVehiclesAndEquipment,TowedArtillery,ReconnaissanceUnmannedAerialVehicles,MultipleRocketLaunchers,InfantryMobilityVehicles,CommandPostsAndCommunicationsStations,EngineeringVehiclesAndEquipment,ArmouredPersonnelCarriers,SelfPropelledArtillery,ArmouredFightingVehicles,Tanks,InfantryFightingVehicles,TrucksVehiclesandJeeps
20220313,,,2,1,1,8,,7,12,15,31,,26,,20,35,,,64,29,112,198,173,346
20220314,,,2,1,2,9,,9,13,15,30,,26,,23,37,,,64,31,128,209,185,407
20220315,,,2,1,2,9,,9,13,15,32,,31,,25,38,,,67,31,136,217,194,414
20220316,,,2,1,2,9,,11,13,32,32,,31,,25,38,,,68,32,140,229,201,420
20220317,,,2,2,4,9,,11,13,32,32,,33,,26,50,,,69,34,150,237,211,482
20220318,,,2,2,4,9,,11,13,34,35,,33,,27,52,,,70,37,163,244,225,499
20220319,,,2,2,4,9,,12,13,34,35,,34,,30,52,,,70,37,165,251,232,520
20220320,,,2,2,4,9,,12,15,34,39,,36,,30,55,,,70,39,173,263,244,544
20220321,,,2,2,4,9,,12,15,34,39,,36,,30,55,,,70,40,173,263,245,544
20220322,,1,2,2,4,9,,12,15,35,39,,41,,31,55,,,70,44,179,270,255,547
20220323,,1,2,2,6,9,,12,15,35,40,,41,,32,57,,,70,46,190,277,260,567
20220324,,3,2,2,6,9,,12,15,35,40,,41,,34,57,,,71,51,198,280,262,579
20220325,,3,2,2,6,9,,12,16,35,40,,41,,34,62,,52,76,53,210,295,280,587
